SEMBOL;F?YAT;GUN Fark %;1 GUN ONCE HISSE FARK %;SKOR;alt_skor_kurumdan önce;KURUM ALI?-SATI? ANAL?Z?;TAKILDI?I ANAL?ZLER;GEÇEN ANAL?ZLER;OLUSTURULMA_ZAMANI
LUKSK;78,55;5,03;-0,32;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=0.25, sat??=0.09 | Al??lar: KAMU 1g: +0.01, KAMU 2g: +0.11, KAMU 3g: +0.11, TERA 1g: +0.01, TERA 2g: +0.01, TERA 3g: +0.01 | Sat??lar: BOFA 1g: -0.06, BOFA 2g: -0.02, BOFA 3g: -0.02;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
EUPWR;30,8;4,87;-2,72;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.81, sat??=1.11 | Al??lar: BOFA 1g: +0.07, KAMU 2g: +0.38, KAMU 3g: +0.37, TERA 1g: +0.00 | Sat??lar: BOFA 2g: -0.01, BOFA 3g: -0.01, KAMU 1g: -0.18, TERA 2g: -0.45, TERA 3g: -0.45;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
NUGYO;8,3;4,7;2,6;5;6;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.94, sat??=1.89 | Al??lar: KAMU 1g: +0.29, KAMU 2g: +0.32, KAMU 3g: +0.33 | Sat??lar: BOFA 1g: -0.54, BOFA 2g: -0.57, BOFA 3g: -0.64, TERA 2g: -0.07, TERA 3g: -0.07;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
MERIT;15,02;4,59;3,51;7;7;Güçlü kurum al?? var (+1 puan): Toplam al??=0.28, sat??=0.04 | Al??lar: BOFA 1g: +0.11, BOFA 2g: +0.03, BOFA 3g: +0.04, KAMU 2g: +0.02, KAMU 3g: +0.02, TERA 2g: +0.02, TERA 3g: +0.03 | Sat??lar: KAMU 1g: -0.04, TERA 1g: -0.00;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
BALSU;20,08;4,38;-3,37;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.57, sat??=0.85 | Al??lar: BOFA 2g: +0.10, BOFA 3g: +0.08, KAMU 1g: +0.12, KAMU 2g: +0.14, KAMU 3g: +0.12, TERA 1g: +0.00 | Sat??lar: BOFA 1g: -0.39, TERA 2g: -0.23, TERA 3g: -0.23;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
KOCMT;13,89;4,32;1,76;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=1.21, sat??=0.12 | Al??lar: BOFA 2g: +0.02, BOFA 3g: +0.01, KAMU 1g: +0.11, KAMU 2g: +0.36, KAMU 3g: +0.37, TERA 2g: +0.16, TERA 3g: +0.19 | Sat??lar: BOFA 1g: -0.12, TERA 1g: -0.00;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
MAKTK;17,74;4,06;9,98;7;7;Güçlü kurum al?? var (+1 puan): Toplam al??=8.25, sat??=0.90 | Al??lar: BOFA 1g: +1.44, BOFA 2g: +2.96, BOFA 3g: +3.05, KAMU 1g: +0.20, TERA 1g: +0.00, TERA 2g: +0.30, TERA 3g: +0.30 | Sat??lar: KAMU 2g: -0.45, KAMU 3g: -0.45;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
ASELS;155,5;3,99;0,97;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=1.09, sat??=0.28 | Al??lar: BOFA 1g: +0.21, BOFA 2g: +0.43, BOFA 3g: +0.44, TERA 1g: +0.00 | Sat??lar: KAMU 1g: -0.03, KAMU 2g: -0.12, KAMU 3g: -0.12, TERA 2g: -0.01, TERA 3g: -0.01;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
ENDAE;17,14;3,97;-0,35;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=0.85, sat??=0.52 | Al??lar: BOFA 2g: +0.34, BOFA 3g: +0.33, KAMU 1g: +0.10, TERA 1g: +0.00, TERA 2g: +0.04, TERA 3g: +0.04 | Sat??lar: BOFA 1g: -0.12, KAMU 2g: -0.20, KAMU 3g: -0.20;"EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
BRLSM;14,79;3,85;-0,47;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.02, sat??=0.35 | Al??lar: BOFA 1g: +0.02 | Sat??lar: BOFA 2g: -0.06, BOFA 3g: -0.06, KAMU 1g: -0.12, KAMU 2g: -0.03, KAMU 3g: -0.03, TERA 2g: -0.03, TERA 3g: -0.02;"EMA trend; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"Golden Cross seviyesine yak?n; RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
