SEMBOL;F?YAT;GUN Fark %;1 GUN ONCE HISSE FARK %;SKOR;alt_skor_kurumdan önce;KURUM ALI?-SATI? ANAL?Z?;TAKILDI?I ANAL?ZLER;GEÇEN ANAL?ZLER;OLUSTURULMA_ZAMANI
OBAMS;60,15;-2,08;0,33;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=1.55, sat??=0.36 | Al??lar: BOFA 1g: +0.32, BOFA 2g: +0.55, BOFA 3g: +0.55, KAMU 1g: +0.13 | Sat??lar: KAMU 2g: -0.11, KAMU 3g: -0.11, TERA 1g: -0.02, TERA 2g: -0.06, TERA 3g: -0.06;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
GENTS;24,14;-2,08;-0,17;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.05, sat??=0.45 | Al??lar: KAMU 3g: +0.00, TERA 1g: +0.01, TERA 2g: +0.02, TERA 3g: +0.02 | Sat??lar: BOFA 1g: -0.10, BOFA 2g: -0.17, BOFA 3g: -0.17, KAMU 1g: -0.01, KAMU 2g: -0.00;"EMA trend; RSI son 3 gün art?? (2); OBV pozitif; Stochastic K < 30; ADX <= 15";"Golden Cross seviyesine yak?n; RSI 30-50 aras? ve yukar? trendde; MACD pozitif ve histogram art??ta; Momentum pozitif; PD/DD makul düzeyde";16.07.2025 21:27
SARKY;19,04;-2,1;-0,31;5;5;Kurum hareketi nötr. Toplam al??=0.13, sat??=0.12 | Al??lar: KAMU 1g: +0.01, KAMU 2g: +0.01, KAMU 3g: +0.01, TERA 2g: +0.04, TERA 3g: +0.04 | Sat??lar: BOFA 1g: -0.01, BOFA 2g: -0.05, BOFA 3g: -0.05;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
POLTK;6327,5;-2,13;0,48;3;2;Güçlü kurum al?? var (+1 puan): Toplam al??=0.13, sat??=0.03 | Al??lar: BOFA 1g: +0.01, BOFA 2g: +0.06, BOFA 3g: +0.06, TERA 2g: +0.00, TERA 3g: +0.00 | Sat??lar: KAMU 1g: -0.01, KAMU 2g: -0.01, KAMU 3g: -0.01;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; Stochastic K < 30; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif";16.07.2025 21:27
KCHOL;164,5;-2,13;-0,66;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.30, sat??=0.51 | Al??lar: BOFA 2g: +0.15, BOFA 3g: +0.15, KAMU 1g: +0.01, TERA 1g: +0.00 | Sat??lar: BOFA 1g: -0.04, KAMU 2g: -0.20, KAMU 3g: -0.20, TERA 2g: -0.04, TERA 3g: -0.04;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
NATEN;46,04;-2,13;-1,46;2;3;Güçlü kurum sat?? var (-1 puan): Toplam al??=5.47, sat??=16.78 | Al??lar: KAMU 2g: +2.74, KAMU 3g: +2.74 | Sat??lar: BOFA 1g: -0.04, BOFA 2g: -0.24, BOFA 3g: -0.24, KAMU 1g: -0.39, TERA 1g: -0.01, TERA 2g: -8.03, TERA 3g: -7.84;"EMA trend; Golden Cross uzak; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; Stochastic K < 30; ADX <= 15";"RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; PD/DD makul düzeyde";16.07.2025 21:27
PETKM;17,37;-2,13;-2,09;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.10, sat??=1.25 | Al??lar: KAMU 1g: +0.10 | Sat??lar: BOFA 1g: -0.49, BOFA 2g: -0.24, BOFA 3g: -0.27, KAMU 2g: -0.04, KAMU 3g: -0.03, TERA 1g: -0.00, TERA 2g: -0.09, TERA 3g: -0.09;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
ALVES;28,1;-2,14;2,33;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=1.61, sat??=0.00 | Al??lar: BOFA 1g: +0.25, BOFA 2g: +0.06, BOFA 3g: +0.07, KAMU 1g: +0.15, KAMU 2g: +0.45, KAMU 3g: +0.45, TERA 1g: +0.04, TERA 2g: +0.07, TERA 3g: +0.07 | Sat??lar: ;"EMA trend; Golden Cross uzak; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
GOKNR;24,3;-2,14;1,17;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.33, sat??=0.51 | Al??lar: KAMU 2g: +0.13, KAMU 3g: +0.13, TERA 2g: +0.04, TERA 3g: +0.04 | Sat??lar: BOFA 1g: -0.17, BOFA 2g: -0.15, BOFA 3g: -0.15, KAMU 1g: -0.03, TERA 1g: -0.01;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
PENTA;13,51;-2,15;-0,15;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=0.71, sat??=0.30 | Al??lar: BOFA 1g: +0.05, BOFA 2g: +0.29, BOFA 3g: +0.29, TERA 1g: +0.01, TERA 2g: +0.04, TERA 3g: +0.04 | Sat??lar: KAMU 1g: -0.05, KAMU 2g: -0.12, KAMU 3g: -0.12;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
AVHOL;41,7;-2,16;5,25;4;5;Kurum hareketi nötr. Toplam al??=1.88, sat??=1.69 | Al??lar: BOFA 1g: +0.54, BOFA 2g: +0.65, BOFA 3g: +0.66, TERA 1g: +0.03 | Sat??lar: KAMU 1g: -0.54, KAMU 2g: -0.48, KAMU 3g: -0.47, TERA 2g: -0.11, TERA 3g: -0.10;"EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
NETAS;51;-2,16;2;2;3;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.29, sat??=0.53 | Al??lar: BOFA 2g: +0.06, BOFA 3g: +0.05, KAMU 2g: +0.09, KAMU 3g: +0.09 | Sat??lar: BOFA 1g: -0.12, KAMU 1g: -0.06, TERA 2g: -0.18, TERA 3g: -0.17;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
KONYA;5090;-2,16;-0,39;2;3;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.34, sat??=0.93 | Al??lar: KAMU 1g: +0.10, KAMU 2g: +0.12, KAMU 3g: +0.12 | Sat??lar: BOFA 1g: -0.24, BOFA 2g: -0.34, BOFA 3g: -0.34, TERA 2g: -0.00, TERA 3g: -0.00;"EMA trend; Golden Cross uzak; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
KRDMB;25,86;-2,17;-3,65;5;6;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.02, sat??=1.23 | Al??lar: KAMU 1g: +0.02 | Sat??lar: BOFA 1g: -0.20, BOFA 2g: -0.10, BOFA 3g: -0.10, KAMU 2g: -0.32, KAMU 3g: -0.32, TERA 2g: -0.09, TERA 3g: -0.09;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
AKBNK;66,9;-2,17;-4,09;5;6;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.23, sat??=2.05 | Al??lar: KAMU 1g: +0.08, KAMU 2g: +0.07, KAMU 3g: +0.07 | Sat??lar: BOFA 1g: -0.61, BOFA 2g: -0.62, BOFA 3g: -0.63, TERA 1g: -0.06, TERA 2g: -0.07, TERA 3g: -0.07;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
KOZAL;23,82;-2,18;-2,85;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.23, sat??=2.28 | Al??lar: KAMU 1g: +0.23 | Sat??lar: BOFA 1g: -0.96, BOFA 2g: -0.62, BOFA 3g: -0.66, KAMU 2g: -0.02, KAMU 3g: -0.01, TERA 1g: -0.00, TERA 2g: -0.00, TERA 3g: -0.01;"EMA trend; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"Golden Cross seviyesine yak?n; RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
CEMAS;9,18;-2,18;-3,37;6;6;Kurum hareketi nötr. Toplam al??=0.73, sat??=0.64 | Al??lar: BOFA 1g: +0.19, BOFA 2g: +0.26, BOFA 3g: +0.28 | Sat??lar: KAMU 1g: -0.02, KAMU 2g: -0.15, KAMU 3g: -0.08, TERA 1g: -0.06, TERA 2g: -0.15, TERA 3g: -0.17;"RSI son 3 gün art?? (2); OBV pozitif; Stochastic K < 30; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; RSI 30-50 aras? ve yukar? trendde; MACD pozitif ve histogram art??ta; Momentum pozitif; PD/DD makul düzeyde";16.07.2025 21:27
RALYH;114,1;-2,19;-2,48;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.74, sat??=3.26 | Al??lar: KAMU 1g: +0.15, KAMU 2g: +0.30, KAMU 3g: +0.29, TERA 1g: +0.00 | Sat??lar: BOFA 1g: -0.81, BOFA 2g: -1.10, BOFA 3g: -1.10, TERA 2g: -0.13, TERA 3g: -0.12;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
DOAS;185,4;-2,21;1,26;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.24, sat??=0.33 | Al??lar: KAMU 1g: +0.04, KAMU 2g: +0.10, KAMU 3g: +0.10 | Sat??lar: BOFA 1g: -0.10, BOFA 2g: -0.10, BOFA 3g: -0.10, TERA 1g: -0.00, TERA 2g: -0.02, TERA 3g: -0.02;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
EDIP;30,64;-2,22;4,43;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=2.21, sat??=0.24 | Al??lar: BOFA 1g: +0.27, BOFA 2g: +0.63, BOFA 3g: +0.64, KAMU 2g: +0.34, KAMU 3g: +0.33, TERA 1g: +0.00 | Sat??lar: KAMU 1g: -0.00, TERA 2g: -0.12, TERA 3g: -0.12;"EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
SONME;121,7;-2,22;-0,49;7;7;Güçlü kurum al?? var (+1 puan): Toplam al??=0.85, sat??=0.56 | Al??lar: BOFA 1g: +0.10, BOFA 2g: +0.27, BOFA 3g: +0.27, TERA 1g: +0.04, TERA 2g: +0.08, TERA 3g: +0.08 | Sat??lar: KAMU 1g: -0.02, KAMU 2g: -0.27, KAMU 3g: -0.27;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
TKNSA;22,54;-2,22;-1,57;4;4;Kurum hareketi nötr. Toplam al??=0.58, sat??=0.59 | Al??lar: KAMU 1g: +0.12, KAMU 2g: +0.23, KAMU 3g: +0.23, TERA 1g: +0.00 | Sat??lar: BOFA 1g: -0.19, BOFA 2g: -0.11, BOFA 3g: -0.12, TERA 2g: -0.09, TERA 3g: -0.08;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
BORSK;21,5;-2,23;4,27;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.00, sat??=0.43 | Al??lar: TERA 1g: +0.00 | Sat??lar: BOFA 1g: -0.09, BOFA 2g: -0.05, BOFA 3g: -0.06, KAMU 1g: -0.05, KAMU 2g: -0.08, KAMU 3g: -0.08, TERA 2g: -0.00, TERA 3g: -0.00;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
YUNSA;5,38;-2,23;0,56;4;4;Kurum hareketi nötr. Toplam al??=0.64, sat??=0.68 | Al??lar: BOFA 1g: +0.01, KAMU 1g: +0.02, KAMU 2g: +0.28, KAMU 3g: +0.26, TERA 2g: +0.04, TERA 3g: +0.02 | Sat??lar: BOFA 2g: -0.34, BOFA 3g: -0.34;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
FZLGY;33,98;-2,24;0,53;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.06, sat??=1.11 | Al??lar: BOFA 1g: +0.06 | Sat??lar: BOFA 2g: -0.20, BOFA 3g: -0.20, KAMU 1g: -0.28, KAMU 2g: -0.19, KAMU 3g: -0.19, TERA 2g: -0.03, TERA 3g: -0.02;"EMA trend; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"Golden Cross seviyesine yak?n; RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
LYDYE;12252,5;-2,24;-0,22;2;3;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.07, sat??=0.10 | Al??lar: BOFA 1g: +0.02, BOFA 2g: +0.03, BOFA 3g: +0.03, KAMU 1g: +0.00 | Sat??lar: KAMU 2g: -0.03, KAMU 3g: -0.03, TERA 2g: -0.02, TERA 3g: -0.02;"EMA trend; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; Stochastic K < 30; PD/DD > 3 veya 0; ADX <= 15";"Golden Cross seviyesine yak?n; RSI 30-50 aras? ve yukar? trendde; Momentum pozitif";16.07.2025 21:27
PKENT;219;-2,28;0,64;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=0.40, sat??=0.24 | Al??lar: KAMU 1g: +0.14, KAMU 2g: +0.13, KAMU 3g: +0.13 | Sat??lar: BOFA 1g: -0.03, BOFA 2g: -0.02, BOFA 3g: -0.02, TERA 2g: -0.08, TERA 3g: -0.08;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
EGEGY;24,3;-2,3;2,97;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=2.34, sat??=0.25 | Al??lar: BOFA 1g: +0.36, BOFA 2g: +0.31, BOFA 3g: +0.33, TERA 1g: +0.24, TERA 2g: +0.55, TERA 3g: +0.56 | Sat??lar: KAMU 1g: -0.04, KAMU 2g: -0.10, KAMU 3g: -0.10;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
BIENY;48,8;-2,3;-2,01;7;7;Güçlü kurum al?? var (+1 puan): Toplam al??=1.57, sat??=0.66 | Al??lar: KAMU 1g: +0.00, KAMU 2g: +0.27, KAMU 3g: +0.27, TERA 1g: +0.17, TERA 2g: +0.43, TERA 3g: +0.43 | Sat??lar: BOFA 1g: -0.51, BOFA 2g: -0.07, BOFA 3g: -0.08;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
GLYHO;9,11;-2,31;2,47;7;6;Güçlü kurum al?? var (+1 puan): Toplam al??=0.07, sat??=0.03 | Al??lar: BOFA 2g: +0.01, BOFA 3g: +0.00, KAMU 1g: +0.02, KAMU 2g: +0.02, KAMU 3g: +0.02 | Sat??lar: BOFA 1g: -0.02, TERA 1g: -0.00, TERA 2g: -0.00, TERA 3g: -0.00;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
KLRHO;70,75;-2,33;3,13;5;5;Kurum hareketi nötr. Toplam al??=0.25, sat??=0.25 | Al??lar: BOFA 1g: +0.06, BOFA 2g: +0.09, BOFA 3g: +0.09 | Sat??lar: KAMU 1g: -0.04, KAMU 2g: -0.09, KAMU 3g: -0.09, TERA 2g: -0.01, TERA 3g: -0.01;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
BIMAS;499;-2,4;0,66;6;5;Güçlü kurum al?? var (+1 puan): Toplam al??=0.22, sat??=0.15 | Al??lar: BOFA 1g: +0.07, TERA 1g: +0.00, TERA 2g: +0.07, TERA 3g: +0.07 | Sat??lar: BOFA 2g: -0.01, BOFA 3g: -0.01, KAMU 1g: -0.05, KAMU 2g: -0.04, KAMU 3g: -0.04;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
FLAP;8,65;-2,43;-1,03;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.03, sat??=0.41 | Al??lar: BOFA 3g: +0.03 | Sat??lar: KAMU 1g: -0.14, KAMU 2g: -0.09, KAMU 3g: -0.05, TERA 2g: -0.07, TERA 3g: -0.07;"EMA trend; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; Stochastic K < 30; ADX <= 15";"Golden Cross seviyesine yak?n; RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; PD/DD makul düzeyde";16.07.2025 21:27
DURDO;3,28;-2,44;4,79;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=4.68, sat??=2.58 | Al??lar: BOFA 1g: +1.22, BOFA 2g: +1.46, BOFA 3g: +1.83, TERA 2g: +0.07, TERA 3g: +0.11 | Sat??lar: KAMU 1g: -0.63, KAMU 2g: -0.95, KAMU 3g: -1.00;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
DNISI;22,1;-2,44;-0,9;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.54, sat??=0.90 | Al??lar: BOFA 1g: +0.19, BOFA 2g: +0.17, BOFA 3g: +0.18 | Sat??lar: KAMU 1g: -0.12, KAMU 2g: -0.37, KAMU 3g: -0.36, TERA 2g: -0.03, TERA 3g: -0.03;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
HALKB;26,2;-2,44;-4,52;5;6;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.08, sat??=0.40 | Al??lar: KAMU 1g: +0.02, KAMU 2g: +0.00, KAMU 3g: +0.00, TERA 1g: +0.00, TERA 2g: +0.03, TERA 3g: +0.03 | Sat??lar: BOFA 1g: -0.13, BOFA 2g: -0.13, BOFA 3g: -0.13;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
ICBCT;15,53;-2,45;0,19;4;4;Güçlü kurum al?? var (+1 puan): Toplam al??=0.88, sat??=0.47 | Al??lar: BOFA 1g: +0.19, BOFA 2g: +0.34, BOFA 3g: +0.35 | Sat??lar: KAMU 1g: -0.11, KAMU 2g: -0.10, KAMU 3g: -0.10, TERA 2g: -0.08, TERA 3g: -0.08;"EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; Stochastic K < 30; PD/DD > 3 veya 0; ADX <= 15";"Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif";16.07.2025 21:27
DOFER;46,06;-2,48;7,17;7;7;Güçlü kurum al?? var (+1 puan): Toplam al??=2.58, sat??=0.06 | Al??lar: BOFA 1g: +1.16, BOFA 2g: +0.65, BOFA 3g: +0.68, KAMU 2g: +0.02, KAMU 3g: +0.02, TERA 2g: +0.03, TERA 3g: +0.03 | Sat??lar: KAMU 1g: -0.04, TERA 1g: -0.02;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
BIOEN;21,5;-2,51;-0,56;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.14, sat??=0.87 | Al??lar: TERA 2g: +0.06, TERA 3g: +0.07 | Sat??lar: BOFA 1g: -0.11, BOFA 2g: -0.09, BOFA 3g: -0.09, KAMU 1g: -0.13, KAMU 2g: -0.23, KAMU 3g: -0.23;"EMA trend; RSI son 3 gün art?? (2); OBV pozitif; Stochastic K < 30; ADX <= 15";"Golden Cross seviyesine yak?n; RSI 30-50 aras? ve yukar? trendde; MACD pozitif ve histogram art??ta; Momentum pozitif; PD/DD makul düzeyde";16.07.2025 21:27
KNFRT;14,25;-2,53;4,17;7;7;Güçlü kurum al?? var (+1 puan): Toplam al??=2.85, sat??=1.57 | Al??lar: BOFA 1g: +0.88, BOFA 2g: +0.87, BOFA 3g: +0.93, TERA 1g: +0.00, TERA 2g: +0.09, TERA 3g: +0.08 | Sat??lar: KAMU 1g: -0.45, KAMU 2g: -0.58, KAMU 3g: -0.54;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
GEREL;18,47;-2,54;9,68;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=5.85, sat??=2.29 | Al??lar: BOFA 1g: +1.31, BOFA 2g: +2.15, BOFA 3g: +2.22, TERA 2g: +0.09, TERA 3g: +0.08 | Sat??lar: KAMU 1g: -0.60, KAMU 2g: -0.85, KAMU 3g: -0.84, TERA 1g: -0.00;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
SKBNK;7,01;-2,57;0,43;5;6;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.65, sat??=1.30 | Al??lar: BOFA 1g: +0.33, KAMU 2g: +0.07, KAMU 3g: +0.09, TERA 2g: +0.07, TERA 3g: +0.08 | Sat??lar: BOFA 2g: -0.67, BOFA 3g: -0.62, KAMU 1g: -0.01, TERA 1g: -0.00;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
